Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Cyprus,CYP,GDP (constant LCU),NY.GDP.MKTP.KN,17625568000,17312527000,17904429000,19081391000,20175418000,21314897000,22493489000,21509967000,22937998000,..
Czechia,CZE,GDP (constant LCU),NY.GDP.MKTP.KN,4291803000000,4388888000000,4625378000000,4742737000000,4987876000000,5148490000000,5304483000000,5012579000000,5190236000000,..
Denmark,DNK,GDP (constant LCU),NY.GDP.MKTP.KN,1958036321000,1989744640000,2036356221000,2102455468000,2161781218000,2204790662000,2237718923000,2193085212000,2299575017000,..
Djibouti,DJI,GDP (constant LCU),NY.GDP.MKTP.KN,363051509000,388688548300,417941671800,447713464000,472150074600,494692487500,522123832000,528399875500,553829000000,..
Dominica,DMA,GDP (constant LCU),NY.GDP.MKTP.KN,1167280000,1222770000,1189370000,1222240000,1141340000,1181830000,1246860000,1039820000,1109300000,..
Dominican Republic,DOM,GDP (constant LCU),NY.GDP.MKTP.KN,1828919619700,1957866933400,2093488743400,2232898351300,2337101123100,2500289853700,2626608698100,2450094306200,2750769640000,..
Ecuador,ECU,GDP (constant LCU),NY.GDP.MKTP.KN,67546128000,70105362000,70174677000,69314066000,70955691000,71870517000,71879217000,66281546000,69088736000,..
"Egypt, Arab Rep.",EGY,GDP (constant LCU),NY.GDP.MKTP.KN,2971631386700,3058281539300,3191990191700,3330734624400,3470000000000,3654400000000,3857500000000,3995200000000,4128110000000,..
El Salvador,SLV,GDP (constant LCU),NY.GDP.MKTP.KN,22213899704,22593470000,23135713280,23723143500,24256349392,24841520265,25447025261,23366166674,25767852535,..
Equatorial Guinea,GNQ,GDP (constant LCU),NY.GDP.MKTP.KN,7312231656300,7342582265800,6673670000000,6085291408100,5740407000000,5382403987800,5087350000000,4871571000000,4825516000000,..
Eritrea,ERI,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP (constant LCU),NY.GDP.MKTP.KN,19663863000,20256014000,20631362000,21282398000,22515084000,23367100000,24240961000,24107393000,26039230000,..
Eswatini,SWZ,GDP (constant LCU),NY.GDP.MKTP.KN,38315510800,38669251300,39530601400,39950657600,40760288900,41725795000,42853875900,42185508600,45511121500,..
Ethiopia,ETH,GDP (constant LCU),NY.GDP.MKTP.KN,1177267871000,1298026040000,1432922916200,1568097451000,1718073265000,1835179678000,1988675679000,2109180096000,2228080969000,..
Faroe Islands,FRO,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,GDP (constant LCU),NY.GDP.MKTP.KN,8680613000,9167032441.77719,9579658850.3318,9813943969.33572,10339320204.7338,10733491378.8992,10671028215.3368,8856928339.70314,8404196935.87931,..
Finland,FIN,GDP (constant LCU),NY.GDP.MKTP.KN,211012000000,210242000000,211385000000,217328000000,224266000000,226822000000,229600000000,224537000000,231213000000,..
France,FRA,GDP (constant LCU),NY.GDP.MKTP.KN,2153641915000,2174234674000,2198432000000,2222515040000,2273442194000,2315843393000,2358523734000,2174922414000,2323177939000,..
French Polynesia,PYF,GDP (constant LCU),NY.GDP.MKTP.KN,441914983309.138,446538335622.8,461930274159.864,477481809961.447,487496744822.207,501265990051.099,513397353357.968,462057618022.171,466790269067.921,..
Gabon,GAB,GDP (constant LCU),NY.GDP.MKTP.KN,4934471597800,5147392292600,5347054461100,5458885015000,5484686000000,5530643093400,5747489034200,5641863918600,5724364133600,..
"Gambia, The",GMB,GDP (constant LCU),NY.GDP.MKTP.KN,49463596600,48767454600,50746473900,51732660400,54227525500,58150827500,61769002900,62134358700,64784694900,..
Georgia,GEO,GDP (constant LCU),NY.GDP.MKTP.KN,31541600000,32939500000,33935000000,34921300000,36612400000,38385509200,40298009800,37573687100,41505975335.5759,..
Germany,DEU,GDP (constant LCU),NY.GDP.MKTP.KN,2917237520000,2981695150000,3026180000000,3093663810000,3176581150000,3207750800000,3241644020000,3121807290000,3203816770000,..
Ghana,GHA,GDP (constant LCU),NY.GDP.MKTP.KN,124477578800,128032957400,130748228300,135158975000,146145906000,155207065700,165307592000,166157176563.124,175057349000,..
Gibraltar,GIB,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP (constant LCU),NY.GDP.MKTP.KN,175878732000,176715380000,176368863000,175509641000,177426468000,180386702000,183785804000,167237650000,181343185000,..
Greenland,GRL,GDP (constant LCU),NY.GDP.MKTP.KN,14019000000,14683800000,14312400000,14982500000,14990400000,15083800000,15426400000,15481400000,..,..
Grenada,GRD,GDP (constant LCU),NY.GDP.MKTP.KN,1914161700,2054690000,2187110000,2268920000,2369640000,2472990000,2489690000,2147210000,2247870000,..
