country,rank,score,landAreaKm,latitude_x,longitude_x,2020 [YR2020],2013 [YR2013],latitude_y,longitude_y
Vietnam,74,52.8,313429.0,14.058324,108.277199,5.005756E+15,3.24687E+15,14.058324,108.277199
Tunisia,76,52.6,155360.0,33.886917,9.537499,88346000000,86275303900,33.886917,9.537499
Uzbekistan,77,52.1,440650.0,41.377491,64.585262,140252242155600,97537962850400,41.377491,64.585262
Barbados,78,52.0,430.0,13.193887,-59.543198,7977900000,8828947100,13.193887,-59.543198
Georgia,79,51.7,69490.0,42.315407,43.356892,37573687100,31541600000,42.315407,43.356892
Seychelles,80,51.5,460.0,-4.679574,55.491977,20205178800,16925062300,-4.679574,55.491977
Ecuador,81,50.3,248360.0,-1.831239,-78.183406,66281546000,67546128000,-1.831239,-78.183406
Moldova,82,50.0,32884.6,47.411631,28.369885,113382357588.023,98964531168.1386,47.411631,28.369885
Iraq,83,49.7,434128.0,33.223191,43.679291,196985514200000,174990638800000,33.223191,43.679291
Cuba,84,49.7,103800.0,21.521757,-77.781167,50698000000,51643000000,21.521757,-77.781167
Jamaica,85,49.4,10830.0,18.109581,-77.297508,810040500000,841521000000,18.109581,-77.297508
Samoa,86,49.3,2780.0,-13.759029,-172.104629,2122613200,1843470500,-13.759029,-172.104629
Sri Lanka,87,48.5,61860.0,7.873054,80.771797,12747715224900,10434604349800,7.873054,80.771797
Maldives,88,47.8,300.0,3.202778,73.22068,51368830400,52983270800,3.202778,73.22068
Paraguay,89,47.6,397300.0,-23.442503,-58.443832,206669725095200,171103458311700,-23.442503,-58.443832
Dominica,90,47.6,750.0,15.414999,-61.370976,1039820000,1167280000,15.414999,-61.370976
Turkmenistan,91,47.4,469930.0,38.969719,59.556278,..,41080880700,38.969719,59.556278
Grenada,92,47.1,340.0,12.262776,-61.604171,2147210000,1914161700,12.262776,-61.604171
Tonga,94,46.5,720.0,-21.178986,-175.198242,1032350000,895432500,-21.178986,-175.198242
Brazil,95,46.2,8358140.0,-14.235004,-51.92528,3990692548500,4241643857400,-14.235004,-51.92528
Azerbaijan,96,45.6,82646.0,40.143105,47.576927,29091452800,28970955300,40.143105,47.576927
Panama,99,43.6,74180.0,8.537981,-80.782127,35319800000,32745000000,8.537981,-80.782127
Mongolia,101,43.2,1557506.8,46.862496,103.846656,26655376727400,20728128355200,46.862496,103.846656
Peru,102,43.1,1280000.0,-9.189967,-75.015152,486737000000,456435000000,-9.189967,-75.015152
Nicaragua,103,42.9,120340.0,12.865416,-85.207229,169977000000,154937000000,12.865416,-85.207229
Belize,104,42.7,22810.0,17.189877,-88.49765,3980000000,4108000000,17.189877,-88.49765
El Salvador,105,41.7,20720.0,13.794185,-88.89653,23366166674,22213899704,13.794185,-88.89653
Morocco,106,40.9,446300.0,31.791702,-7.09262,1086142612958.19,841223764300,31.791702,-7.09262
Bolivia,107,40.1,1083300.0,-16.290154,-63.588653,44952918688.3619,38486569900,-16.290154,-63.588653
Suriname,108,39.4,156000.0,3.919305,-56.027783,15090422000,18087339200,3.919305,-56.027783
Philippines,109,39.0,298170.0,12.879721,121.774017,17537843279373.3,13254643626900,12.879721,121.774017
Dominican Republic,110,39.0,48310.0,18.735693,-70.162651,2450094306200,1828919619700,18.735693,-70.162651
Guyana,113,35.3,196850.0,4.860416,-58.93018,1498060000000,860662000000,4.860416,-58.93018
Fiji,115,34.7,18270.0,-16.578193,179.414413,8856928339.70314,8680613000,-16.578193,179.414413
Cambodia,116,34.3,176520.0,12.565679,104.990963,54826427716400,37503328695200,12.565679,104.990963
Equatorial Guinea,117,33.2,28050.0,1.650801,10.267895,4871571000000,7312231656300,1.650801,10.267895
Marshall Islands,118,32.3,180.0,7.131474,171.184478,218847400,181243700,7.131474,171.184478
Honduras,119,31.8,111890.0,15.199999,-86.241905,200939900000,177634300000,15.199999,-86.241905
Bhutan,120,31.2,38140.0,27.514162,90.433601,64747489449.7202,51719756500,27.514162,90.433601
Tajikistan,122,30.9,138790.0,38.861034,71.276093,7561800000,4839439800,38.861034,71.276093
Indonesia,123,28.5,1877519.0,-0.789275,113.921327,1.07230548E+16,8.1564978E+15,-0.789275,113.921327
Guatemala,124,28.3,107160.0,15.783471,-90.230759,506183234200,416383221000,15.783471,-90.230759
Afghanistan,125,28.1,652230.0,33.93911,67.709953,1288869351100,1147513804100,33.93911,67.709953
Gabon,126,27.7,257670.0,-0.803689,11.609444,5641863918600,4934471597800,-0.803689,11.609444
Bangladesh,127,27.4,130170.0,23.684994,90.356331,26500650000000,17148479769800,23.684994,90.356331
Nepal,128,27.1,143350.0,28.394857,84.124008,2284299666526.91,1689572402714.41,28.394857,84.124008
South Africa,130,24.7,1213090.0,-30.559482,22.937506,4293355585540.95,4302291176100,-30.559482,22.937506
Sudan,131,22.4,1868000.0,12.862807,30.217636,20068557079.1443,19681675600,12.862807,30.217636
Vanuatu,132,21.5,12190.0,-15.376706,166.959158,66777000000,57669000000,-15.376706,166.959158
Ghana,133,20.9,227533.0,7.946527,-1.023194,166157176563.124,124477578800,7.946527,-1.023194
Botswana,134,20.9,566730.0,-22.328474,24.684866,167725874500,152503845500,-22.328474,24.684866
Namibia,135,19.7,823290.0,-22.95764,18.49041,133231470326.424,132004415400.505,-22.95764,18.49041
India,136,19.5,2973190.0,20.593684,78.96288,135584734020400,98013698221800,20.593684,78.96288
